Kreiskennziffer,Stadt/Landkreis,Metropole_x,durchschn. Kaufpreis 1. HJ 2025,Angebote 1. HJ 2025,Preisentwicklung,Angebotsentwicklung,Durchschnittliche Entfernung zur Autobahn,Durchschnittliche Entfernung zum Zugverkehr,Durchschnittliche Entfernung zum Supermarkt,Anteil Pendler,Kindergärten und Grundschulen je 100.000 Einwohner,Entwicklung der Einwohnerzahl von 2012 bis 2023 in %
15088,Saalekreis,Leipzig,1536,495.0,0.0274247491638795,-0.293865905848787,6.29,3.22,3.88,2.213300391187976,59.15714634609644,-3.456349059545394
05122,Solingen,Düsseldorf,2730,525.0,0.00812407680945348,-0.0506329113924051,5.94,2.57,1.0,14.227830874392996,78.61586554829924,6.929099384480675
05122,Solingen,Köln,2730,525.0,0.00812407680945348,-0.0506329113924051,5.94,2.57,1.0,14.227830874392996,78.61586554829924,6.929099384480675
03359,Stade,Hamburg,2659,749.0,-0.0126253249164501,-0.251748251748252,9.1,4.32,2.64,27.331941640144645,67.52066037107834,6.068066544419981
09188,Starnberg,München,7186,489.0,-0.0369874028410614,-0.16695059625213,5.91,2.33,1.76,33.856731394592586,63.27885120121956,7.25391801127151
08111,Stuttgart,Stuttgart,4759,2366.0,0.0170976704424022,-0.212383488681758,8.08,2.4,0.74,2.9213113774244643,65.41679505107724,2.537382575814595
12072,Teltow-Fläming,Berlin,3119,482.0,-0.019182389937107,-0.294289897510981,15.15,3.35,2.89,30.73174565747072,59.389742382985396,11.105544631338994
08416,Tübingen,Stuttgart,3992,605.0,0.0414818679885207,-0.189008042895442,17.28,2.46,1.91,7.0033369465876,81.2263353516896,8.377618732956705
06440,Wetteraukreis,Frankfurt,3178,864.0,0.0318181818181817,-0.313741064336775,7.14,2.98,1.99,23.89908080458444,60.58532328391287,5.703544941144445
06414,Wiesbaden,Frankfurt,4476,1083.0,0.0866715222141297,-0.310630171865054,3.03,2.51,0.94,13.907000686341798,61.278931187689665,5.356959462433419
05124,Wuppertal,Düsseldorf,2369,1063.0,0.0847069597069596,-0.222953216374269,2.57,2.32,0.96,10.097188218710587,55.92908019428802,4.580836140396927
